school,title,topic,time,custom_minutes_per_week,location,requirements,description_evaluation_method,description_overview
MUSIC,GEN_MUS 120-0-2 Non-Major Strings,Viola,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 120-0-3 Non-Major Strings,Cello,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 120-0-4 Non-Major Strings,Double Bass,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 120-0-5 Non-Major Strings,Guitar,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 125-0-1 Non-Major Winds/Percussion,Trumpet,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 125-0-10 Non-Major Winds/Percussion,Bassoon,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 125-0-11 Non-Major Winds/Percussion,Percussion,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 125-0-2 Non-Major Winds/Percussion,Horn,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 125-0-3 Non-Major Winds/Percussion,Euphonium,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 125-0-4 Non-Major Winds/Percussion,Trombone,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 125-0-5 Non-Major Winds/Percussion,Tuba,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 125-0-6 Non-Major Winds/Percussion,Flute,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 125-0-7 Non-Major Winds/Percussion,Oboe,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 125-0-8 Non-Major Winds/Percussion,Clarinet,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 125-0-9 Non-Major Winds/Percussion,Saxophone,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,GEN_MUS 393-0-1 Orchestral Organizations,Chamber Orchestra,TuTh 2:10PM - 4:10PM,240,Pick-Staiger Rehearsal Room,['AddDepartmentConsent'],,Contact the department for further information
MUSIC,GEN_MUS 393-0-2 Orchestral Organizations,Chamber Orchestra,MoWeFr 2:10PM - 4:10PM,360,Pick-Staiger Rehearsal Room,[],,Contact the department for further information
MUSIC,GEN_MUS 393-0-3 Orchestral Organizations,Philharmonia,MoWe 4:30PM - 5:50PM,160,Pick-Staiger Rehearsal Room,[],,Contact the department for further information
MUSIC,GEN_MUS 176-0-1 Selected Topics in Applied Music for Non-Majors,Free Improvisation,TuTh 12:30PM - 1:50PM,160,RCMA 1-164,[],,"This course will serve as an introduction and workshop for practices of improvised music. While all forms of musicmaking involve some degree of spontaneity and active decision-making, free improvisation - in other words, playing without reference to any preconceived plan or genre (e.g. jazz, rock, or Indian classical music) - requires a unique set of skills. In this class, we will learn how to play &quot;free&quot; together by analyzing the foundations of our own musical languages, using practical musicianship exercises, as well as reading about the practice of improvised music as a late 20th-century genre and way of thinking. <br/>Any musician of any skill level, style, or instrument (including voice, electronics, objects, or custom-made instruments) is welcome. The main qualification is having an open mind and arriving ready to play. Class will consist of discussions of assigned materials, workshops developing improvisational skill, and performances in and out of class."
MUSIC,GEN_MUS 175-0-1 Selected Topics in Music Literature for Non-Majors,Music and the Visual Arts,TuTh 9:30AM - 10:50AM,160,RCMA 1-180,[],,"What does music have to do with painting? What does musical time have to do with biological rhythms and our perception of visual media? How does the combination of image and sound affect our experience with music videos, film, or live performances? In this course, we will investigate the historical and conceptual correspondences between music and the visual arts, with a particular emphasis on Western practice. We will cover a broad range of topics that includes but is not limited to impressionism, abstract expressionism, chance procedures, psychoacoustics and visual perception, sound installation, abstract and commercial animation, film and television, music videos, etc. Through this survey, we will seek to understand how the development and introduction of artistic movements and techniques were informed by creators from the two disciplines, with the hope that this knowledge will open new modes of thinking for our own practice as creative individuals. Student evaluation will be based on active participation in class discussions, reading and listening assignments, written work, and final presentations."
MUSIC,GEN_MUS 175-0-2 Selected Topics in Music Literature for Non-Majors,Celtic Music and Pop Culture,MoWe 12:30PM - 1:50PM,160,RCMA 1-180,[],,"Haunting, traditional, ancient, local, and ethereal are just some of the words used to describe &quot;Celtic music&quot; when it is heard today, whether at a Riverdance performance, on the Lord of the Rings soundtrack, or in the Black &amp; White video game series. The term remains extremely ambiguous, however, and this class will interrogate the idea of &quot;Celtic music&quot; and its place in 20th- and 21st-century popular culture. Our examination begins by understanding the historical evolution of the umbrella term &quot;Celtic&quot; and the host of national, cultural, ethnic, and linguistic associations that it has come to represent. We will undertake case studies of music from the different regions affiliated with Celtic identity - Ireland, Scotland, Wales, and Brittany, among others - to garner a foundation for approaching the eclectic range of styles and genres typically categorized as &quot;Celtic.&quot; Assigned readings and listening examples will be explored in class discussion with student assessment based on participation, listening quizzes, short essays, and weekly journals."
MUSIC,JAZZ_ST 162-0-1 Applied Jazz for Music Majors,Saxophone,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,JAZZ_ST 162-0-2 Applied Jazz for Music Majors,Trumpet,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,JAZZ_ST 162-0-3 Applied Jazz for Music Majors,Trombone,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,JAZZ_ST 162-0-4 Applied Jazz for Music Majors,Piano,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,JAZZ_ST 162-0-5 Applied Jazz for Music Majors,Double Bass,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,JAZZ_ST 162-0-6 Applied Jazz for Music Majors,Percussion,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,JAZZ_ST 162-0-7 Applied Jazz for Music Majors,Guitar,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,JAZZ_ST 262-0-1 Applied Jazz for Music Majors,Saxophone,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,JAZZ_ST 262-0-2 Applied Jazz for Music Majors,Trumpet,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,JAZZ_ST 262-0-3 Applied Jazz for Music Majors,Trombone,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,JAZZ_ST 262-0-4 Applied Jazz for Music Majors,Piano,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,JAZZ_ST 262-0-5 Applied Jazz for Music Majors,Double Bass,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,JAZZ_ST 262-0-6 Applied Jazz for Music Majors,Percussion,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,JAZZ_ST 262-0-7 Applied Jazz for Music Majors,Guitar,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,JAZZ_ST 362-0-1 Applied Jazz for Music Majors,Saxophone,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,JAZZ_ST 362-0-2 Applied Jazz for Music Majors,Trumpet,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,JAZZ_ST 362-0-3 Applied Jazz for Music Majors,Trombone,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,JAZZ_ST 362-0-4 Applied Jazz for Music Majors,Piano,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,JAZZ_ST 362-0-5 Applied Jazz for Music Majors,Double Bass,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,JAZZ_ST 362-0-6 Applied Jazz for Music Majors,Percussion,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,JAZZ_ST 362-0-7 Applied Jazz for Music Majors,Guitar,TBA,,TBA,['MajorMusic'],,Contact the department for further information
MUSIC,JAZZ_ST 462-0-1 Applied Jazz for Music Majors,Saxophone,TBA,,TBA,[],,Contact the department for further information
MUSIC,JAZZ_ST 462-0-2 Applied Jazz for Music Majors,Trumpet,TBA,,TBA,[],,Contact the department for further information
MUSIC,JAZZ_ST 462-0-3 Applied Jazz for Music Majors,Trombone,TBA,,TBA,[],,Contact the department for further information
MUSIC,JAZZ_ST 462-0-4 Applied Jazz for Music Majors,Piano,TBA,,TBA,[],,Contact the department for further information
MUSIC,JAZZ_ST 462-0-5 Applied Jazz for Music Majors,Double Bass,TBA,,TBA,[],,Contact the department for further information
MUSIC,JAZZ_ST 462-0-6 Applied Jazz for Music Majors,Percussion,TBA,,TBA,[],,Contact the department for further information
MUSIC,JAZZ_ST 462-0-7 Applied Jazz for Music Majors,Guitar,TBA,,TBA,[],,Contact the department for further information
MUSIC,JAZZ_ST 337-0-1 Business of Jazz,,Tu 2:00PM - 3:20PM,80,RCMA Lower Level 111,[],,Contact the department for further information
MUSIC,JAZZ_ST 236-3-1 Jazz Improvisation III,,TuTh 10:00AM - 10:50AM,100,Regenstein Hall of Music 143,[],,Contact the department for further information
MUSIC,JAZZ_ST 336-3-1 Jazz Improvisation VI,,TuTh 11:00AM - 11:50AM,100,Regenstein Hall of Music 143,[],,Contact the department for further information
MUSIC,JAZZ_ST 377-0-1 Jazz Orchestra for Music Majors,Jazz Orchestra,TuThFr 4:30PM - 6:20PM,330,Regenstein Hall of Music 011,[],,Contact the department for further information
MUSIC,JAZZ_ST 370-0-1 Junior Recital,,TBA,,TBA,[],,Contact the department for further information
MUSIC,JAZZ_ST 480-0-1 MM Recital,,TBA,,TBA,[],,Contact the department for further information
MUSIC,JAZZ_ST 305-0-1 Optional Recital,,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,JAZZ_ST 380-0-1 Senior Recital,,TBA,,TBA,[],,Contact the department for further information
MUSIC,JAZZ_ST 391-0-1 Small Ensemble,,MoWe 4:30PM - 6:20PM,220,RCMA 3-141 Studio,[],,Contact the department for further information
MUSIC,JAZZ_ST 391-0-2 Small Ensemble,,MoWe 4:30PM - 6:20PM,220,RCMA 3-142 Studio,[],,Contact the department for further information
MUSIC,JAZZ_ST 391-0-3 Small Ensemble,,MoWe 4:30PM - 6:20PM,220,Regenstein Hall of Music 117,[],,Contact the department for further information
MUSIC,JAZZ_ST 391-0-4 Small Ensemble,,MoWe 4:30PM - 6:20PM,220,Regenstein Hall of Music 119,[],,Contact the department for further information
MUSIC,350-0-1 Alexander Technique,Full Year Sequence,Tu 9:00AM - 9:50AM,50,RCMA Lower Level 111,"['MajorMusic', 'AddDepartmentConsent']",,Contact the department for further information
MUSIC,350-0-2 Alexander Technique,,Mo 9:00AM - 9:50AM,50,RCMA Lower Level 111,"['MajorMusic', 'AddDepartmentConsent']",,Contact the department for further information
MUSIC,350-0-3 Alexander Technique,,Tu 11:00AM - 11:50AM,50,RCMA Lower Level 111,"['MajorMusic', 'AddDepartmentConsent']",,Contact the department for further information
MUSIC,350-0-4 Alexander Technique,,We 9:00AM - 9:50AM,50,RCMA Lower Level 111,"['MajorMusic', 'AddDepartmentConsent']",,Contact the department for further information
MUSIC,126-3-1 Aural Skills III,,MoWeFr 1:00PM - 1:50PM,150,RCMA 1-168,['MajorMusic'],,Contact the department for further information
MUSIC,126-3-2 Aural Skills III,,MoWeFr 10:00AM - 10:50AM,150,RCMA 1-168,['MajorMusic'],,Contact the department for further information
MUSIC,126-3-3 Aural Skills III,,MoWeFr 10:00AM - 10:50AM,150,RCMA 1-176,['MajorMusic'],,Contact the department for further information
MUSIC,126-3-4 Aural Skills III,,MoWeFr 11:00AM - 11:50AM,150,RCMA 1-164,['MajorMusic'],,Contact the department for further information
MUSIC,126-3-5 Aural Skills III,,MoWeFr 12:00PM - 12:50PM,150,RCMA 1-172,['MajorMusic'],,Contact the department for further information
MUSIC,226-3-1 Aural Skills VI,,MoWeFr 9:00AM - 9:50AM,150,RCMA 1-164,['MajorMusic'],,Contact the department for further information
MUSIC,226-3-2 Aural Skills VI,,MoWeFr 10:00AM - 10:50AM,150,RCMA 1-164,['MajorMusic'],,Contact the department for further information
MUSIC,226-3-3 Aural Skills VI,,MoWeFr 11:00AM - 11:50AM,150,RCMA 1-160,['MajorMusic'],,Contact the department for further information
MUSIC,226-3-4 Aural Skills VI,,MoWeFr 12:00PM - 12:50PM,150,RCMA 1-160,['MajorMusic'],,Contact the department for further information
MUSIC,226-3-5 Aural Skills VI,,MoWeFr 1:00PM - 1:50PM,150,RCMA 1-160,['MajorMusic'],,Contact the department for further information
MUSIC,509-0-1 DMA Continuation,,TBA,,TBA,['AddDepartmentConsent'],,Contact the department for further information
MUSIC,512-0-1 DMA Continuation,,TBA,,TBA,['AddDepartmentConsent'],,Contact the department for further information
MUSIC,515-0-1 DMA Continuation,,TBA,,TBA,['AddDepartmentConsent'],,Contact the department for further information
MUSIC,517-0-1 DMA Continuation,,TBA,,TBA,['AddDepartmentConsent'],,Contact the department for further information
MUSIC,518-0-1 DMA Continuation,,TBA,,TBA,['AddDepartmentConsent'],,Contact the department for further information
MUSIC,521-0-1 DMA Continuation,,TBA,,TBA,['AddDepartmentConsent'],,Contact the department for further information
MUSIC,398-0-1 Internship,,TBA,,TBA,['AddDepartmentConsent'],,Contact the department for further information
MUSIC,398-0-2 Internship,,TBA,,TBA,['AddInstructorConsent'],,Contact the department for further information
MUSIC,440-0-1 Introduction to Music Research,,TuTh 8:30AM - 9:20AM,100,RCMA 1-160,['MajorMasterMusic'],Class participation: 5%;Papers: 60%;Research project: 35%;,"This course is an introduction to the resources and methods of music research and writing. It covers skills and ideas that can be applied and built upon in other courses, as well as throughout a career in music."
MUSIC,127-3-1 Keyboard Skills 3,,TuTh 1:00PM - 1:50PM,100,RCMA 4-136 Keyboard Lab,['AddInstructorConsent'],,Contact the department for further information
MUSIC,127-3-2 Keyboard Skills 3,,TuTh 9:00AM - 9:50AM,100,RCMA 4-138 Keyboard Lab,['AddInstructorConsent'],,Contact the department for further information
MUSIC,127-3-3 Keyboard Skills 3,,TuTh 10:00AM - 10:50AM,100,RCMA 4-138 Keyboard Lab,['AddInstructorConsent'],,Contact the department for further information
MUSIC,127-3-4 Keyboard Skills 3,,TuTh 12:00PM - 12:50PM,100,RCMA 4-138 Keyboard Lab,['AddInstructorConsent'],,Contact the department for further information
MUSIC,128-3-1 Keyboard Skills 3+,,TuTh 10:00AM - 10:50AM,100,RCMA 4-136 Keyboard Lab,['AddInstructorConsent'],,Contact the department for further information
